id,attraction_id,content
1,135,這次是第五次入住君悦，除了地點方便世貿國際會議廳開會，設施也很周全，Loby可供時差休息和喝Caffee。這次除了房間的浴袍有油味道外大致很滿意，早鳥訂房一般有優惠。
2,135,地點離台北101非常近，離捷運也很近。房間舒適，雖然住客很多，早餐時段也很多人，但是服務人員都很親切，推薦有需要的人可以住這邊。
3,135,除了比我晚到泳池的跋扈大叔想剝奪我已使用的泳道（為了讓救生員不難堪，默默退到邊邊泳道繼續游玩），和風切關係導致泳池裡面有很多雜質以外，深度1.5和恆溫29度還值得讚賞加分。
4,135,"交接不知出什麼問題
幾個月前從旅行社訂房
業務知道、早班櫃檯都知道我們需求嬰兒床+嬰兒澡盆 …"
5,135,我們是凱悅會員，去不同國家都是住凱悅，這次忘了帶iPhone充電線，問客房服務，她說問一下，後來打來說沒有，真的覺得台灣這間飯店太需要改進了吧！
6,135,"君悅依舊是我在台北飯店中的首選
雖是老飯店 但客房有翻新
睡起來很舒服 …"
7,135,"*房間
1.偏陳舊、掛了很多中國風。（覺得看了有點不習慣）
2.浴室很大、有浴袍 …"
8,135,今天參加公司在君悅酒店舉辦的大型會議和聚餐，入場就感到環境明亮清潔裝潢漂亮，第一印象很不錯。用餐時除餐點幾乎都好吃外，服務更令人印象深刻，全桌全程沒有注意到有人的飲料杯有空過。尤其特別想表揚一位服務我們桌的「沃芄圴」小姐，因為我是我們這桌多的第十一人，有些菜是算好一人一份的，旁桌有少一人，每次上菜去旁桌拿不大方便，告知沃小姐情況後，她直接每次上菜都準備一份小盤特別給我，不只是算好人數的菜色，是所有的菜。自己以前也做過餐廳外場知道那麽大場合的情況會有多混亂，真的很不容易。特別表揚沃小姐但不限於她1人，而是整體的感受。
9,124,"1-
入住時間是16:00，比較少遇到16:00，住過很多飯店都是15:00

2-
房間內有洗衣機、微波爐、咖啡機，還有提供洗衣精，覺得非常有趣，還有兩台電視、大書桌、環繞音響。
不知道前身是否為防疫旅館使用，不然也太周到了，長住者很適合。

3-
冰箱提供3種小鋁罐的飲料、小米菓、迷你茶葉罐、瓶裝水，設備部分有泡茶壺、杯、紅酒杯、熱水壺。

4-
浴室基本的毛巾、浴巾都有提供，肥皂很環保，還有提供包裝袋，用不完可以攜帶離開、身體乳液（滿香的）、吹風機、洗髮精和沐浴乳也不錯、浴帽、髮梳都有。

5-
早餐算是小巧精緻，用餐人不多，覺得很好，沙拉、麵包、熟食、蒸籠、白粥、熱湯、燕麥、牛奶、飲料選擇多。

6-
枕頭很好睡、床也很舒服，一覺到天亮。

- - -

覺得：
房間偏暗、浴室的毛巾已經脫線，感覺使用率很高，建議可以更換，出風口有漆面剝落問題。"
10,124,交通十分方便 地鐵站走幾分鐘就到 附近也有很多食肆距離西門町也很近 附近也有大佳河濱公園 休閒放鬆十分不錯。房間十分滿意 清潔姨姨十分友善 衛生也保持得很好 我有鼻敏感和皮膚敏感 但住了6晚完全沒有任何不適。房間很大 有一個小陽台 有洗衣機乾衣機 也有微波爐 免治馬桶 按摩浴缸 一整天待在房間也沒有問題。整體而言十分滿意 下次再來還會考慮繼續住這裡。
