id,city,tag,name,url,rating,comment_amount,address,phone,pic_url,business_hour
21,連江縣,飯店,台江大飯店,https://www.google.com/maps/place/%E5%8F%B0%E6%B1%9F%E5%A4%A7%E9%A3%AF%E5%BA%97/data=!4m10!3m9!1s0x34416514defeb8eb:0x474ee232489bbae!5m2!4m1!1i2!8m2!3d26.2233772!4d119.9983291!16s%2Fg%2F11yr3tyhl!19sChIJ67j-3hRlQTQRrruJJCPudAQ?authuser=0&hl=zh-TW&rclk=1,3.9,154,210連江縣北竿鄉200號,08 365 5256,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE0UUx5OBnOfvcp9wpO8bL6Bo6LzSbyeUnIwXJMOIljGhgEdmJDWYLU8E9THxq2hI4nPUC5p83lZMw8M0JD_2W8B4Bv0_4dprzX7ReVy3fUY1163f9XFoF7VbY0ehdYmyrOIOWrS4k4dPWxKIqyN3bMms5P6JHWoQgn5M2PVIT7YMg-cTy1j_Gndw=w408-h306-k-no,"下午3:00,上午10:00"
22,連江縣,飯店,DAYSPRING.日光春和(日光海岸),https://www.google.com/maps/place/DAYSPRING.%E6%97%A5%E5%85%89%E6%98%A5%E5%92%8C%28%E6%97%A5%E5%85%89%E6%B5%B7%E5%B2%B8%29/data=!4m10!3m9!1s0x3441712004f16261:0x54a421d4e7bdb338!5m2!4m1!1i2!8m2!3d26.143716!4d119.92725!16s%2Fg%2F11h1cq_5v!19sChIJYWLxBCBxQTQROLO959QhpFQ?authuser=0&hl=zh-TW&rclk=1,4.7,538,209連江縣南竿鄉1-1號,08 362 6666,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHRYCNdwX7rMBzcLiDgbKacv36Wx9IMApRLpAFLMOLTYjrH18ssx8MIuD7TIAGbdlYEzncurkbwgpf-oDUERIhmTZMkmlZ0DzEU7lRBAPqNC6mIKUoztoMwUxs3qIuTcqH5duxnFMUxMP3sJZ3ncJsWcdji4_t93XAGGaY1z6UoT8Txhnfi5sqC=w408-h272-k-no,"下午3:00,上午11:00"
23,連江縣,飯店,假期旅店,https://www.google.com/maps/place/%E5%81%87%E6%9C%9F%E6%97%85%E5%BA%97/data=!4m10!3m9!1s0x344170ee29d2bad1:0x7f982eb04d03935b!5m2!4m1!1i2!8m2!3d26.1571339!4d119.9431649!16s%2Fg%2F1pzsfh_w_!19sChIJ0brSKe5wQTQRW5MDTbAumH8?authuser=0&hl=zh-TW&rclk=1,4.2,305,209福沃村96號 南竿鄉 連江縣,08 362 5515,https://lh5.googleusercontent.com/p/AF1QipN08RA6vZz_MnugSVXkTAE0wQ2y7k-LCZByk5W3=w426-h240-k-no,"下午2:00,上午11:00"
24,連江縣,飯店,芹壁青年民宿,https://www.google.com/maps/place/%E8%8A%B9%E5%A3%81%E9%9D%92%E5%B9%B4%E6%B0%91%E5%AE%BF/data=!4m10!3m9!1s0x3441655d7ff24917:0x4118ee3b65c8b2db!5m2!4m1!1i2!8m2!3d26.2247013!4d119.9834771!16s%2Fg%2F11c72mzlvk!19sChIJF0nyf11lQTQR27LIZTvuGEE?authuser=0&hl=zh-TW&rclk=1,4.2,42,210連江縣北竿鄉22-1號,0911 300 442,https://lh5.googleusercontent.com/p/AF1QipOEA9p_PuRK9QsNvxw1eA60iYOL_Bt4LmhZ9ULz=w408-h485-k-no,"下午3:00,上午11:00"
25,連江縣,飯店,北海岸飯店 (二館) - 復興館,https://www.google.com/maps/place/%E5%8C%97%E6%B5%B7%E5%B2%B8%E9%A3%AF%E5%BA%97+%28%E4%BA%8C%E9%A4%A8%29+-+%E5%BE%A9%E8%88%88%E9%A4%A8/data=!4m10!3m9!1s0x3441656aca611661:0x621924c0ef37ddf4!5m2!4m1!1i2!8m2!3d26.2240003!4d119.998059!16s%2Fg%2F11bwn41rrl!19sChIJYRZhymplQTQR9N0378AkGWI?authuser=0&hl=zh-TW&rclk=1,4.2,73,210連江縣北竿鄉78號,0933 928 167,https://lh5.googleusercontent.com/p/AF1QipNoMz2iNqhKNtZ_2laBAiKkM_HQ2mS3ryEbR6Mn=w408-h306-k-no,
26,連江縣,飯店,碧雲天渡假村,https://www.google.com/maps/place/%E7%A2%A7%E9%9B%B2%E5%A4%A9%E6%B8%A1%E5%81%87%E6%9D%91/data=!3m1!4b1!4m9!3m8!1s0x3441711ec13013dd:0xf749675e483e80e0!5m2!4m1!1i2!8m2!3d26.2250834!4d119.9975608!16s%2Fg%2F11gzmyh54?authuser=0&hl=zh-TW&entry=ttu,4.0,234,210連江縣北竿鄉２５５號,08 365 5461,https://lh5.googleusercontent.com/p/AF1QipN1uQ5ivCpspZSE7xqoqk2V8qX2vAiXr2RRrtG7=w426-h240-k-no,"下午2:00,上午11:00"
27,連江縣,飯店,馬祖民宿,https://www.google.com/maps/place/%E9%A6%AC%E7%A5%96%E6%B0%91%E5%AE%BF/data=!3m1!4b1!4m9!3m8!1s0x3441711ec13013dd:0x6aaeca10393a1d28!5m2!4m1!1i2!8m2!3d26.1565569!4d119.9522443!16s%2Fg%2F11g_k6sbr?authuser=0&hl=zh-TW&entry=ttu,4.7,59,20941連江縣南竿鄉200號,0921 932 039,https://lh5.googleusercontent.com/p/AF1QipNAOok4FO2b3RIdIKv3Sg0VRHPPxwqzoGfhXLji=w408-h306-k-no,"下午3:00,上午11:00"
28,連江縣,飯店,馬祖東莒-故鄉民宿,https://www.google.com/maps/place/%E9%A6%AC%E7%A5%96%E6%9D%B1%E8%8E%92-%E6%95%85%E9%84%89%E6%B0%91%E5%AE%BF/data=!4m10!3m9!1s0x34419cb2fafae771:0xe7cb615543924b91!5m2!4m1!1i2!8m2!3d25.956994!4d119.975863!16s%2Fg%2F1pzwfc_bc!19sChIJcef6-rKcQTQRkUuSQ1Vhy-c?authuser=0&hl=zh-TW&rclk=1,4.7,191,211連江縣莒光鄉大坪村40-1號,08 368 8080,https://lh5.googleusercontent.com/p/AF1QipOKiwEUUSrns7vvUr01LHzVkX1NaQRtQJUe7UQ0=w408-h272-k-no,"下午1:00,上午10:30"
29,連江縣,觀光景點,市定古蹟紀州庵,https://www.google.com/maps/place/%E5%B8%82%E5%AE%9A%E5%8F%A4%E8%B9%9F%E7%B4%80%E5%B7%9E%E5%BA%B5/data=!4m7!3m6!1s0x3442a99150cf19a5:0x1c186027abb66f7b!8m2!3d25.0211571!4d121.5205461!16s%2Fg%2F155sydlp!19sChIJpRnPUJGpQjQRe2-2qydgGBw?authuser=0&hl=zh-TW&rclk=1,4.4,677,100台北市中正區同安街109巷4弄1號,02 2368 7577,https://lh5.googleusercontent.com/p/AF1QipOxs3UzhjOr3njOw4J_Qcj38gvhCDpI2sIEhhfN=w426-h240-k-no,"10:00–18:00,10:00–18:00,10:00–18:00,10:00–18:00,休息,10:00–18:00,10:00–18:00"
30,連江縣,觀光景點,芹壁聚落,https://www.google.com/maps/place/%E8%8A%B9%E5%A3%81%E8%81%9A%E8%90%BD/data=!4m7!3m6!1s0x34416567be3976af:0xae27b61ce0716267!8m2!3d26.2247825!4d119.9836682!16s%2Fg%2F12hp_1jq2!19sChIJr3Y5vmdlQTQRZ2Jx4By2J64?authuser=0&hl=zh-TW&rclk=1,4.6,3639,連江縣北竿鄉,08 362 5631,https://lh5.googleusercontent.com/p/AF1QipNyQQQZ-Nc1ZcPt4AohQOEym9uoyQEtKd-wmVbE=w408-h306-k-no,"24 小時營業,24 小時營業,24 小時營業,24 小時營業,24 小時營業,24 小時營業,24 小時營業"
